ticker,company_name,category,sector
360ONE,360 ONE WAM Ltd,MidCap,Financial Services
3MINDIA,3M India Ltd,MidCap,Diversified
ABB,ABB India Ltd,LargeCap,Capital Goods
ABCAPITAL,Aditya Birla Capital Ltd,LargeCap,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd,MidCap,Consumer Discretionary
ACC,ACC Ltd,LargeCap,Construction Materials
ADANIENT,Adani Enterprises Ltd,LargeCap,Industrials
ADANIGREEN,Adani Green Energy Ltd,LargeCap,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,LargeCap,Infrastructure
ADANIPOWER,Adani Power Ltd,LargeCap,Power
ADANITRANS,Adani Energy Solutions Ltd,LargeCap,Power
ALKEM,Alkem Laboratories Ltd,LargeCap,Healthcare
AMBUJACEM,Ambuja Cements Ltd,LargeCap,Construction Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,LargeCap,Healthcare
APOLLOTYRE,Apollo Tyres Ltd,MidCap,Automobile
ASHOKLEY,Ashok Leyland Ltd,LargeCap,Automobile
ASIANPAINT,Asian Paints Ltd,LargeCap,Chemicals
ASTRAL,Astral Ltd,LargeCap,Chemicals
ATUL,Atul Ltd,MidCap,Chemicals
AUBANK,AU Small Finance Bank Ltd,LargeCap,Banking
AUROPHARMA,Aurobindo Pharma Ltd,LargeCap,Healthcare
AXISBANK,Axis Bank Ltd,LargeCap,Banking
BAJAJ-AUTO,Bajaj Auto Ltd,LargeCap,Automobile
BAJAJFINSV,Bajaj Finserv Ltd,LargeCap,Financial Services
BAJFINANCE,Bajaj Finance Ltd,LargeCap,Financial Services
BALKRISIND,Balkrishna Industries Ltd,LargeCap,Automobile
BANKBARODA,Bank of Baroda,LargeCap,Banking
BEL,Bharat Electronics Ltd,LargeCap,Defence
BERGEPAINT,Berger Paints India Ltd,LargeCap,Chemicals
BHARATFORG,Bharat Forge Ltd,LargeCap,Capital Goods
BHARTIARTL,Bharti Airtel Ltd,LargeCap,Telecommunication
BHEL,Bharat Heavy Electricals Ltd,LargeCap,Capital Goods
BIOCON,Biocon Ltd,LargeCap,Healthcare
