ticker,category,sector
20MICRONS,SmallCap,
21STCENMGM,SmallCap,
360ONE,MidCap,Financial Services
3BBLACKBIO,SmallCap,
3IINFOLTD,SmallCap,
3MINDIA,MidCap,Diversified
3PLAND,SmallCap,
5PAISA,SmallCap,
63MOONS,SmallCap,
A2ZINFRA,SmallCap,
AAATECH,SmallCap,
AADHARHFC,SmallCap,Financial Services
AAKASH,SmallCap,
AAREYDRUGS,SmallCap,
AARNAV,SmallCap,
AARON,SmallCap,
AARTECH,SmallCap,
AARTIDRUGS,SmallCap,
AARTIIND,SmallCap,Chemicals
AARTIPHARM,SmallCap,
AARTISURF,SmallCap,
AARVI,SmallCap,
AASTHA,SmallCap,
AAVAS,SmallCap,Financial Services
ABANSENT,SmallCap,
ABB,LargeCap,Capital Goods
ABBOTINDIA,MidCap,Healthcare
ABCAPITAL,MidCap,Financial Services
ABCOTS,SmallCap,
ABDL,SmallCap,Fast Moving Consumer Goods
ABFRL,SmallCap,Consumer Services
ABINFRA,SmallCap,
ABLBL,SmallCap,Consumer Services
ABMINTLLTD,SmallCap,
ABMKNO,SmallCap,
ABREL,SmallCap,Realty
ABSLAMC,SmallCap,Financial Services
ACC,MidCap,Construction Materials
ACCELYA,SmallCap,
ACCURACY,SmallCap,
ACE,SmallCap,Capital Goods
ACEINTEG,SmallCap,
ACI,SmallCap,
ACL,SmallCap,
ACMESOLAR,SmallCap,Power
ACSTECH,SmallCap,
ACUTAAS,SmallCap,Healthcare
ADANIENSOL,LargeCap,Power
ADANIENT,LargeCap,Metals & Mining
ADANIGREEN,LargeCap,Power
ADANIPORTS,LargeCap,Services
ADANIPOWER,LargeCap,Power
ADFFOODS,SmallCap,
ADL,SmallCap,
ADOR,SmallCap,
ADROITINFO,SmallCap,
ADSL,SmallCap,
ADVAIT,SmallCap,
ADVANCE,SmallCap,
ADVANIHOTR,SmallCap,
ADVENTHTL,SmallCap,
ADVENZYMES,SmallCap,
AEGISLOG,SmallCap,Oil Gas & Consumable Fuels
AEGISVOPAK,SmallCap,Oil Gas & Consumable Fuels
AEPL,SmallCap,
AEQUS,SmallCap,
AEROENTER,SmallCap,
AEROFLEX,SmallCap,
AERONEU,SmallCap,
AEROPLANE,SmallCap,
AETHER,SmallCap,
AFCONS,SmallCap,Construction
AFFLE,SmallCap,Information Technology
AFFORDABLE,SmallCap,
AFIL,SmallCap,
AFSL,SmallCap,
AGARIND,SmallCap,
AGARWALEYE,SmallCap,
AGI,SmallCap,
AGIIL,SmallCap,
AGL,SmallCap,
AGRITECH,SmallCap,
AGROPHOS,SmallCap,
AHCL,SmallCap,
AHLADA,SmallCap,
AHLEAST,SmallCap,
AHLUCONT,SmallCap,
AHLWEST,SmallCap,
AIAENG,MidCap,Capital Goods
AIIL,MidCap,Financial Services
AIRAN,SmallCap,
AIROLAM,SmallCap,
AJANTPHARM,MidCap,Healthcare
AJAXENGG,SmallCap,
AJMERA,SmallCap,
AJOONI,SmallCap,
AKASH,SmallCap,
AKCAPIT,SmallCap,
AKG,SmallCap,
AKI,SmallCap,
AKSHAR,SmallCap,
AKSHARCHEM,SmallCap,
AKSHOPTFBR,SmallCap,
AKUMS,SmallCap,
ALANKIT,SmallCap,
ALBERTDAVD,SmallCap,
ALEMBICLTD,SmallCap,
ALGOQUANT,SmallCap,
ALICON,SmallCap,
ALIVUS,SmallCap,
ALKALI,SmallCap,
ALKEM,MidCap,Healthcare
ALKYLAMINE,SmallCap,
ALLCARGO,SmallCap,
ALLDIGI,SmallCap,
ALLTIME,SmallCap,
ALMONDZ,SmallCap,
ALOKINDS,SmallCap,
ALPA,SmallCap,
ALPHAGEO,SmallCap,
ALPINETEX,SmallCap,
AMAGI,SmallCap,
AMANTA,SmallCap,
AMBALALSA,SmallCap,
AMBER,SmallCap,Consumer Durables
AMBICAAGAR,SmallCap,
AMBIKCO,SmallCap,
AMBUJACEM,LargeCap,Construction Materials
AMDIND,SmallCap,
AMJLAND,SmallCap,
AMNPLST,SmallCap,
AMRUTANJAN,SmallCap,
ANANDRATHI,SmallCap,Financial Services
ANANTRAJ,SmallCap,Realty
ANDHRAPAP,SmallCap,
ANDHRSUGAR,SmallCap,
ANGELONE,SmallCap,Financial Services
ANIKINDS,SmallCap,
ANMOL,SmallCap,
ANTELOPUS,SmallCap,
ANTGRAPHIC,SmallCap,
ANTHEM,MidCap,Healthcare
ANUHPHR,SmallCap,
ANUP,SmallCap,
ANURAS,SmallCap,Chemicals
APARINDS,MidCap,Capital Goods
APCL,SmallCap,
APCOTEXIND,SmallCap,
APEX,SmallCap,
APLAPOLLO,MidCap,Capital Goods
APLLTD,SmallCap,
APOLLO,SmallCap,
APOLLOHOSP,LargeCap,Healthcare
APOLLOPIPE,SmallCap,
APOLLOTYRE,MidCap,Automobile and Auto Components
APOLSINHOT,SmallCap,
APTECHT,SmallCap,
APTUS,SmallCap,Financial Services
AQYLON,SmallCap,
ARCHIDPLY,SmallCap,
ARCHIES,SmallCap,
ARE&M,SmallCap,Automobile and Auto Components
ARENTERP,SmallCap,
ARFIN,SmallCap,
ARIES,SmallCap,
ARIHANT,SmallCap,
ARIHANTCAP,SmallCap,
ARIHANTSUP,SmallCap,
ARIS,SmallCap,
ARKADE,SmallCap,
ARMANFIN,SmallCap,
AROGRANITE,SmallCap,
ARROWGREEN,SmallCap,
ARSSBL,SmallCap,
ARTEMISMED,SmallCap,
ARTNIRMAN,SmallCap,
ARVEE,SmallCap,
ARVIND,SmallCap,
ARVINDFASN,SmallCap,
ARVSMART,SmallCap,
ASAHIINDIA,SmallCap,Automobile and Auto Components
ASAHISONG,SmallCap,
ASAL,SmallCap,
ASALCBR,SmallCap,
ASHAPURMIN,SmallCap,
ASHIANA,SmallCap,
ASHIKAG,SmallCap,
ASHIMASYN,SmallCap,
ASHOKA,SmallCap,
ASHOKAMET,SmallCap,
ASHOKLEY,MidCap,Capital Goods
ASIANENE,SmallCap,
ASIANHOTNR,SmallCap,
ASIANPAINT,LargeCap,Consumer Durables
ASIANTILES,SmallCap,
ASKAUTOLTD,SmallCap,
ASMS,SmallCap,
ASPINWALL,SmallCap,
ASTAR,SmallCap,
ASTEC,SmallCap,
ASTERDM,SmallCap,Healthcare
ASTRAL,MidCap,Capital Goods
ASTRAMICRO,SmallCap,
ASTRAZEN,SmallCap,
ATALREAL,SmallCap,
ATAM,SmallCap,
ATGL,MidCap,Oil Gas & Consumable Fuels
ATHERENERG,SmallCap,Automobile and Auto Components
ATL,SmallCap,
ATLANTAA,SmallCap,
ATLANTAELE,SmallCap,
ATLASCYCLE,SmallCap,
ATUL,SmallCap,Chemicals
ATULAUTO,SmallCap,
AUBANK,MidCap,Financial Services
AURIONPRO,SmallCap,
AUROPHARMA,MidCap,Healthcare
AURUM,SmallCap,
AURUS,SmallCap,
AUSOMENT,SmallCap,
AUTOAXLES,SmallCap,
AUTOIND,SmallCap,
AVADHSUGAR,SmallCap,
AVALON,SmallCap,
AVANTEL,SmallCap,
AVANTIFEED,SmallCap,
AVG,SmallCap,
AVL,SmallCap,
AVONMORE,SmallCap,
AVROIND,SmallCap,
AVTNPL,SmallCap,
AWFIS,SmallCap,
