,signal_date,entry_date,exit_date,days_held,outcome,exit_route,route_reason,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,init_stop_price,partial_at_%,partials_taken_n,remaining_frac,days_since_high
20,2024-01-29,2024-01-30,2024-02-28,21,STOP,trailing,trending,UPTREND,47.89,47.65,47.65,54.8,44.18,44.18,-7.27,-7.47,true,false,34.86,29.52,4.66,60.72,3.81,5.78,0.8,-0.02,28.18,82.04,-6.67,85091,0.5,42.88,,0,1,16
64,2022-04-28,2022-04-29,2022-05-16,10,STOP,trailing,trending,UPTREND,55.71,55.43,55.43,63.74,50.23,49.6,-10.52,-10.72,true,false,34.18,173.42,69.61,88.35,62.39,6.58,1.28,2.33,43.65,112.23,0,5157771,0.5,49.89,,0,1,5
65,2022-04-26,2022-04-27,2022-05-16,12,TARGET,trailing,trending,UPTREND,46.08,45.85,45.85,52.73,50.23,49.6,8.18,6.6656,true,false,62.21,130.48,54.88,83.49,49.45,6.91,4.56,1.22,38.59,113.1,0,4285483,0.5,41.26,,0,1,5
66,2022-04-22,2022-04-25,2022-05-16,14,TARGET,trailing,trending,UPTREND,32.45,32.28,30.59,35.18,50.23,49.6,62.14,51.7377,true,false,143.13,64.7,16.07,66.25,30.97,7.45,0.56,0.44,35.08,73.09,-12.29,3354861,6.07,27.53,,0,1,5
68,2022-04-11,2022-04-12,2022-05-16,21,TARGET,trailing,trending,UPTREND,33.96,33.79,33.79,38.86,50.23,49.6,46.78,38.9077,true,false,120.09,78.73,38.17,81.78,51.75,6.71,5.83,1.05,25.39,124.42,-8.19,3542928,0.5,30.41,,0,1,5
72,2022-03-11,2022-03-14,2022-04-28,30,TARGET,trailing,trending,UPTREND,23.65,23.53,23.53,27.06,29.88,55.71,136.74,114.0502,true,false,136.74,32.03,11.35,57.62,24.11,7.42,1.2,0.46,29.06,90.66,-28.72,303453,0.5,21.18,,0,1,0
75,2021-12-14,2021-12-15,2021-12-24,7,STOP,trailing,trending,UPTREND,26.16,26.03,26.03,29.94,23.43,23.36,-10.27,-10.47,true,false,27.44,81.78,50.65,84.63,66.46,5.54,2.7,0.96,25.5,129.39,0,2091332,0.5,23.43,,0,1,4
116,2019-05-02,2019-05-03,2019-06-17,30,TARGET,trailing,trending,UPTREND,68.19,67.85,64.8,74.52,74.6,82.12,26.72,22.6418,true,false,31.19,51.06,0.51,56.42,0.71,6.01,0.1,-0.57,20.02,56.44,-10.31,117146,5.22,61.56,,0,1,1
0,2026-06-19,2026-06-22,2026-07-06,10,STOP,fixed,chop:adx=18|sma200_flat|dist=-13.4,DOWNTREND,31.58,31.42,31.42,33.31,28.77,28.77,-8.43,-8.63,false,false,7.89,-13.35,0.64,53.62,2.2,4.41,0.51,0.09,18.18,53.68,-33.47,60788,0.5,28.77,,0,1,0
1,2026-05-26,2026-05-27,2026-06-01,3,STOP,fixed,chop:sma200_flat|dist=-6.9,DOWNTREND,34.69,34.52,34.52,36.59,31.06,31.06,-10,-10.2,false,false,3.72,-6.87,11.5,66.61,13.55,5.19,12.65,0.21,28.76,127.46,-26.92,390501,0.5,31.06,,0,1,0
2,2026-04-09,2026-04-10,2026-05-04,15,STOP,fixed,chop:sma200_flat|dist=-12.3,DOWNTREND,33.28,33.11,33.11,35.1,29.8,29.8,-10,-10.2,false,false,2.31,-12.34,8.11,56.23,8.19,6.72,1.14,0.59,40.34,75.03,-29.89,5448,0.5,29.8,,0,1,0
3,2025-12-23,2025-12-24,2026-01-20,17,STOP,fixed,chop:dist=8.7|vol_self,UPTREND,40.02,39.82,39.82,45.79,35.84,35.84,-10,-10.2,false,false,0.5,8.73,4.11,55.16,12.51,4.41,1.34,0.31,23.89,84.05,-15.69,49677,0.5,35.84,,0,1,0
