Stock,Sector,Signals today?,News,# articles,Top headline,Keywords matched
EMCURE,Healthcare,false,0.291,5,"Earnings Beat: Emcure Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Models - simplywall.st","beat analyst,surges"
NCC,Construction,false,0.245,3,"NCC shares in focus after Q1 profit rises 13%, margin improves - Moneycontrol.com",profit rises
AFFLE,Information Technology,false,0.185,4,Affle 3i net profit rises 22% in Q1FY27 on strong revenue growth - scanx.trade,profit rises
ACUTAAS,Healthcare,false,0,2,Ami Organics Share Price - Live NSE: ACUTAAS Stock Price &amp; Chart - Upstox,
AMBER,Consumer Durables,false,0,1,Amber Enterprises India Ltd (AMBER) Share Price - Business Today,
ANGELONE,Financial Services,false,0,1,ANGELONE Share Price Today - Angel One on NSE/BSE - scanx.trade,
ACE,Capital Goods,false,0,1,"Ace Soft Export Consolidated June 2026 Net Sales at Rs 14.29 crore, up 7.89% Y-o-Y - Moneycontrol.com",
BLS,Consumer Services,false,0,2,BLS E-Services Q1 Results: Consolidated Revenue Jumps 25% YoY To ₹304 Cr - Trade Brains,
BIKAJI,Fast Moving Consumer Goods,false,0,3,"Bikaji Foods Standalone June 2026 Net Sales at Rs 678.17 crore, up 8.74% Y-o-Y - Moneycontrol.com",
BEML,Capital Goods,false,0,5,"IRFC, RVNL, IRCON, RITES, BEML, Jupitar Wagons, IRCTC, Concor: Are Railway Stocks Attractive Before Q1 Results - Goodreturns",
ATUL,Chemicals,false,0,1,"Atul Ltd Q1 Strong; Reiterate BUY with Targets ₹7,341/₹7,784 - HDFC Sky",
APTUS,Financial Services,false,0,3,"APTUS VALUE Consolidated June 2026 Net Sales at Rs 600.29 crore, up 15.38% Y-o-Y - Moneycontrol.com",
CESC,Power,false,0,2,CESC Share Price - Upstox,
CENTRALBK,Financial Services,false,0,1,Central Bank of India (CENTRALBK) Share Price - Business Today,
BRIGADE,Realty,false,0,1,Watch: Indian Army's Black Charger Brigade carry out Tactical Floatation Exercises - The Economic Times,
CLEAN,Chemicals,false,0,3,"Clean Science Standalone June 2026 Net Sales at Rs 207.10 crore, down 5.82% Y-o-Y - Moneycontrol.com",
CHALET,Consumer Services,false,0,1,Chalet Hotels Ltd. Share Price Today - Chalet Hotels Ltd. Stock Price Live NSE/BSE - CNBC TV18,
DOMS,Fast Moving Consumer Goods,false,0,1,"DOMS Industries Standalone June 2026 Net Sales at Rs 603.27 crore, up 18.82% Y-o-Y - Moneycontrol.com",
DEEPAKNTR,Chemicals,true,0,1,Deepak Nitrite Ltd (BOM:506401) (Q1 2027) Earnings Call Highlights: Record EBITDA and PAT Soar ...,
ECLERX,Services,false,0,2,Earnings Miss: eClerx Services Limited Missed EPS By 8.6% And Analysts Are Revising Their Forecasts - simplywall.st,
GABRIEL,Automobile and Auto Components,false,0,1,Why You Might Be Interested In Gabriel India Limited (NSE:GABRIEL) For Its Upcoming Dividend - simplywall.st,
CASTROLIND,Oil Gas & Consumable Fuels,false,0,1,Do These 3 Checks Before Buying Castrol India Limited (NSE:CASTROLIND) For Its Upcoming Dividend - simplywall.st,
CAMS,Financial Services,false,0,2,Computer Age Management Services Limited (NSE:CAMS) Will Pay A ₹2.50 Dividend In Three Days - simplywall.st,
GLAND,Healthcare,false,0,7,"Gland Pharma Limited (NSE:GLAND) Is About To Go Ex-Dividend, And It Pays A 0.8% Yield - simplywall.st",
GRAPHITE,Capital Goods,false,0,1,Results: Graphite India Limited Beat Earnings Expectations And Analysts Now Have New Forecasts - simplywall.st,
GRSE,Capital Goods,false,0,1,Garden Reach Shipbuilders & Engineers Ltd (BOM:542011) (Q1 2027) Earnings Call Highlights: ...,
GRAVITA,Metals & Mining,false,0,1,"Gravita India holds Q1FY27 investor meeting, shares presentation - scanx.trade",
HFCL,Telecommunication,false,0,1,HFCL - Multibaggers: 12 stocks skyrocketed up to 925% in 6 months; here's how retail investors bet on them - The Economic Times,
HINDCOPPER,Metals & Mining,false,0,1,Hindustan Copper Share Price - Live NSE: HINDCOPPER Stock Price &amp; Chart - Upstox,
HOMEFIRST,Financial Services,false,0,1,Home First Finance Co. Share Price - Live NSE: HOMEFIRST Stock Price &amp; Chart - Upstox,
HEG,Capital Goods,false,0,1,Enterprise value to EBIT forward of HEG Limited – NSE:HEG - TradingView,
IDBI,Financial Services,false,0,2,"AIBOA urges President to halt IDBI Bank divestment, cites breach of assurance - BusinessLine",
IEX,Financial Services,false,0,2,"Suzlon Energy, Waaree Renewables, Satvik To IEX | 5 Mid, Small-Cap Stocks Below Industry Average P/E - Goodreturns",
INTELLECT,Information Technology,false,0,2,"Intellect Desig Consolidated June 2026 Net Sales at Rs 845.17 crore, up 20.45% Y-o-Y - Moneycontrol.com",
IGIL,Services,false,0,1,IGIL Share Price Today - International Gemological Institute on NSE/BSE - scanx.trade,
IRB,Construction,false,0,2,IRB Infrastructure Trust Revenue Breakdown – NSE:IRBIT - TradingView,
IRCON,Construction,false,0,1,"IRFC, RVNL, IRCON, RITES, BEML, Jupitar Wagons, IRCTC, Concor: Are Railway Stocks Attractive Before Q1 Results - Goodreturns",
GALLANTT,Capital Goods,false,0,1,Gallantt Ispat - FII exodus! Top 10 stocks which saw sharpest decline in foreign capital in Q1. See full list - The Economic Times,
CCL,Fast Moving Consumer Goods,false,0,1,CCL Products Share Price - Upstox,
KEC,Construction,false,0,1,KEC International sees improved ESG rating from CRISIL - Business Upturn,
KARURVYSYA,Financial Services,false,0,1,Karur Vysya Bank Share Price - Live NSE: KARURVYSYA Stock Price &amp; Chart - Upstox,
MMTC,Services,false,0,2,MMTC appoints Kundan Kumar Mishra as Director (Finance) - scanx.trade,
KIMS,Healthcare,true,0,4,KIMS Hospitals secures exchange approval for 7.7 lakh promoter warrants - scanx.trade,
MRPL,Oil Gas & Consumable Fuels,false,0,1,Stock to buy today: MRPL (₹169.90) - BusinessLine,
NATCOPHARM,Healthcare,false,0,1,Natco Pharma Share Price - Live NSE: NATCOPHARM Stock Price &amp; Chart - Upstox,
NAVINFLUOR,Chemicals,false,0,1,Navin Fluorine International Ltd (BOM:532504) (Q1 2027) Earnings Call Highlights: Record ...,
MAPMYINDIA,Information Technology,false,0,3,MAPMYINDIA Share Price Today - CE Info Systems on NSE/BSE - scanx.trade,
NETWEB,Information Technology,true,0,2,Netweb Tech India Share Price - Upstox,
NEWGEN,Information Technology,false,0,2,Newgen Software Technologies Ltd. Share Price Live Today - CNBC TV18,
NUVOCO,Construction Materials,false,0,3,Nuvoco Vistas Corp Share Price - Upstox,
PARADEEP,Chemicals,false,0,2,Supreme Court upholds ₹53.50 Cr subsidy win for Paradeep Phosphates - scanx.trade,
POONAWALLA,Financial Services,false,0,1,Poonawalla Fincorp to host investor meet at Motilal Oswal conference - scanx.trade,
RAILTEL,Telecommunication,false,0,3,RAILTEL Share Price Today - Railtel Corporation of India on NSE/BSE - scanx.trade,
RAINBOW,Healthcare,false,0,1,"Rainbow Child Standalone June 2026 Net Sales at Rs 410.55 crore, up 22.64% Y-o-Y - Moneycontrol.com",
NBCC,Construction,false,0,4,NBCC (India) to host investor meet with Emkay Global in Mumbai - scanx.trade,
RAMCOCEM,Construction Materials,false,0,1,The Ramco Cements Limited (NSE:RAMCOCEM) Pays A ₹2.50 Dividend In Just Three Days - simplywall.st,
REDINGTON,Services,false,0,1,"Stocks to Buy: Expert Picks That Could Deliver Returns of Up to 27%; Pricol, Redington and More | Target Price - Goodreturns",
RPOWER,Power,false,0,1,Reliance Power Share Price - Live NSE: RPOWER Stock Price &amp; Chart - Upstox,
RITES,Construction,false,0,6,RITES Ltd (NSE:RITES) (Q1 FY27) Earnings Call Highlights: Record Order Book and Strategic ...,
SCI,Services,false,0,2,"SCI Land and As Standalone June 2026 Net Sales at Rs 7.86 crore, up 37.65% Y-o-Y - Moneycontrol.com",
SONACOMS,Automobile and Auto Components,true,0,1,Sona BLW Precision Forgings Share Price - Live NSE: SONACOMS Stock Price &amp; Chart - Upstox,
SYNGENE,Healthcare,false,0,1,"Syngene Intl Consolidated June 2026 Net Sales at Rs 736.00 crore, down 15.84% Y-o-Y - Moneycontrol.com",
SAREGAMA,Media Entertainment & Publication,false,0,1,Saregama India Limited (NSE:SAREGAMA) Released Earnings Last Week And Analysts Lifted Their Price Target To ₹620 - simplywall.st,
TATATECH,Information Technology,true,0,1,Honda outsources vehicle platform development to Tata Technologies – report,
TIMKEN,Capital Goods,false,0,1,Timken India Ltd (BOM:522113) (Q1 2027) Earnings Call Highlights: 15% Revenue Growth Fueled by ...,
TRAVELFOOD,Consumer Services,true,0,1,"Travel Food Services Ltd Share Price Today,, TRAVELFOOD Share Price NSE, BSE - Business Today",
TITAGARH,Capital Goods,false,0,1,Titagarh Rail Systems hosts Q1FY27 earnings call on Aug 14 - scanx.trade,
TRIDENT,Textiles,false,0,1,Trident Share Price - Upstox,
USHAMART,Capital Goods,false,0,1,Is It Smart To Buy Usha Martin Limited (NSE:USHAMART) Before It Goes Ex-Dividend? - simplywall.st,
WELSPUNLIV,Textiles,true,0,2,WELSPUNLIV Share Price Today - Welspun Living on NSE/BSE - scanx.trade,
WHIRLPOOL,Consumer Durables,false,0,2,Whirlpool of India Limited Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now - simplywall.st,
KAYNES,Capital Goods,false,-0.245,6,"Kaynes Tech Q1 Consolidated Net Profit Falls To ₹56.4 Crore YoY, Misses Estimates - Sahi","misses estimates,profit falls,strong q1"
DELHIVERY,Services,false,-0.394,6,"Delhivery posts Rs 2,931 Cr revenue in Q1 FY27; profit declines 65% - Entrackr","profit declines,profit falls,tumbles"
ZEEL,Media Entertainment & Publication,false,-0.941,1,ZEEL shares plunge 13% after SEBI order in Hyderabad land pledge case - BusinessLine,"plunge,sebi order"
