ticker,category,sector,market_cap,price,average_volume,sma20,sma50,sma200,rsi,atr_percent,year_high,year_low,score,success,error
20MICRONS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
21STCENMGM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
360ONE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
3IINFOLTD,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
3BBLACKBIO,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
3MINDIA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
3PLAND,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
5PAISA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
63MOONS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
A2ZINFRA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AAATECH,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AAREYDRUGS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARNAV,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARON,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AAKASH,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AADHARHFC,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARTECH,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARTIDRUGS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARTIIND,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARTIPHARM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABANSENT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABBOTINDIA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARTISURF,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AASTHA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABB,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AARVI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AAVAS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABCAPITAL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABCOTS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABDL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABFRL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABLBL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABINFRA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABMKNO,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABMINTLLTD,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABREL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ABSLAMC,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACC,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACCELYA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACCURACY,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACEINTEG,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACMESOLAR,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACUTAAS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADANIENSOL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADANIENT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ACSTECH,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADANIGREEN,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADANIPORTS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADANIPOWER,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADFFOODS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADROITINFO,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADSL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADOR,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADVAIT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADVANCE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADVANIHOTR,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADVENTHTL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ADVENZYMES,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEGISLOG,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEGISVOPAK,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEPL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEQUS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEROFLEX,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AERONEU,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEROENTER,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AEROPLANE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AETHER,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AFCONS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AFFLE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AFFORDABLE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AFIL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AFSL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGARIND,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGARWALEYE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGIIL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGRITECH,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AGROPHOS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AHLEAST,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AHLADA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AHCL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AHLUCONT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AHLWEST,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AIAENG,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AIIL,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AIRAN,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AIROLAM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AJANTPHARM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AJAXENGG,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AJMERA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AJOONI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKCAPIT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKASH,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKG,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKSHAR,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKSHARCHEM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKSHOPTFBR,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AKUMS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALANKIT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALEMBICLTD,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALBERTDAVD,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALGOQUANT,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALICON,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALIVUS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALKALI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALKEM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALKYLAMINE,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALLCARGO,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALLDIGI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALLTIME,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALMONDZ,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALOKINDS,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALPA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALPHAGEO,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
ALPINETEX,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMBUJACEM,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMBICAAGAR,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMBIKCO,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMAGI,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMBALALSA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMBER,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMDIND,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMJLAND,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMANTA,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMRUTANJAN,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
AMNPLST,,,,,,,,,,,,,,False,fetch_stock() missing 2 required positional arguments: 'category' and 'sector'
