Stock,Cap,Sector,Signals today,Rank,Stage-2,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,MomExit #,MomExit %,Decay #,Decay %,Staircase #,Expectancy%,Avg win%,Avg loss%,R:R,Avg days,Total return (sum)%,CAGR%,Max DD%,Profit factor,Recovery factor,Max consec. losses,Seq. trades,BT from,BT to,Years,Remark
AARTIIND,SmallCap,Chemicals,False,1.17,100.0,0.12,4.5,138.0,53.6,48.0,34.8,4.0,2.9,49.0,35.5,37.0,26.8,21.0,16.0,0.0,0.0,0.0,0.0,0.0,1.95,8.7,-5.86,1.48,16.3,268.7,4.33,-41.2,1.72,1.38,5.0,83.0,2015-11-02,2026-08-25,10.8,
360ONE,MidCap,Financial Services,False,1.07,87.5,0.127,3.87,62.0,58.1,24.0,38.7,3.0,4.8,20.0,32.3,15.0,24.2,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2.15,7.94,-5.87,1.35,16.9,133.07,4.75,-28.8,1.87,1.04,4.0,33.0,2019-09-19,2026-08-24,6.9,limited history: 6.9y (<10y) - lower confidence
AAKASH,SmallCap,UNKNOWN,False,0.94,37.5,0.348,-4.47,60.0,65.0,36.0,60.0,0.0,0.0,18.0,30.0,6.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.48,11.2,-8.01,1.4,12.9,268.64,2.79,-68.22,2.6,0.36,9.0,33.0,2018-05-15,2026-08-24,8.3,limited history: 8.3y (<10y) - lower confidence
AARON,SmallCap,UNKNOWN,False,0.91,25.0,0.082,10.75,64.0,46.9,26.0,40.6,0.0,0.0,27.0,42.2,11.0,17.2,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.17,11.35,-7.82,1.45,14.2,74.68,2.16,-50.6,1.28,0.34,3.0,41.0,2018-09-18,2026-08-24,7.9,limited history: 7.9y (<10y) - lower confidence
AAATECH,SmallCap,UNKNOWN,False,0.71,37.5,0.143,-3.53,34.0,55.9,16.0,47.1,0.0,0.0,14.0,41.2,4.0,11.8,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.78,10.21,-8.9,1.15,12.5,60.44,2.0,-40.5,1.45,0.27,3.0,27.0,2020-11-12,2026-08-24,5.8,limited history: 5.8y (<10y) - lower confidence
5PAISA,SmallCap,UNKNOWN,False,0.65,87.5,-0.038,10.47,58.0,41.4,21.0,36.2,2.0,3.4,30.0,51.7,5.0,8.6,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.35,11.77,-8.91,1.32,9.2,-20.44,-2.17,-50.6,0.93,-0.32,4.0,44.0,2017-11-16,2026-08-25,8.8,limited history: 8.8y (<10y) - lower confidence
3PLAND,SmallCap,UNKNOWN,False,0.17,25.0,0.097,-3.06,58.0,46.6,27.0,46.6,0.0,0.0,29.0,50.0,2.0,3.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.74,12.79,-9.77,1.31,7.6,42.63,-2.92,-73.91,1.14,-0.35,5.0,43.0,2015-11-02,2026-08-24,10.8,
AADHARHFC,SmallCap,Financial Services,True,0.13,25.0,-0.05,-3.71,10.0,40.0,1.0,10.0,0.0,0.0,3.0,30.0,6.0,60.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.34,4.26,-5.07,0.84,26.8,-13.38,0.64,-10.2,0.56,0.1,1.0,6.0,2024-05-15,2026-08-25,2.3,limited history: 2.3y (<10y) - lower confidence
AAREYDRUGS,SmallCap,UNKNOWN,False,0.03,50.0,0.308,-5.16,46.0,58.7,26.0,56.5,0.0,0.0,18.0,39.1,2.0,4.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.88,10.97,-8.61,1.27,9.4,132.67,-3.28,-36.75,1.81,-0.4,3.0,34.0,2021-08-06,2026-08-24,5.0,limited history: 5.0y (<10y) - lower confidence
20MICRONS,SmallCap,UNKNOWN,True,0.0,50.0,0.125,10.99,103.0,48.5,47.0,45.6,1.0,1.0,48.0,46.6,7.0,6.8,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.36,11.99,-8.68,1.38,10.8,139.62,-9.39,-70.04,1.3,-0.89,5.0,69.0,2015-11-02,2026-08-24,10.8,
3IINFOLTD,SmallCap,UNKNOWN,False,0.0,62.5,-0.017,38.61,78.0,51.3,40.0,51.3,0.0,0.0,38.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,8.84,-9.53,0.93,6.3,-8.45,-8.68,-66.6,0.98,-0.92,4.0,65.0,2015-11-02,2026-08-24,10.8,
3MINDIA,MidCap,Diversified,False,0.0,62.5,0.043,-0.24,87.0,44.8,25.0,28.7,4.0,4.6,32.0,36.8,26.0,29.9,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.78,7.67,-4.82,1.59,18.3,68.19,-2.44,-44.43,1.3,-0.52,5.0,53.0,2015-11-02,2026-08-25,10.8,
A2ZINFRA,SmallCap,UNKNOWN,False,0.0,25.0,-0.009,6.5,85.0,44.7,38.0,44.7,0.0,0.0,45.0,52.9,2.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.08,11.39,-9.35,1.22,8.5,-6.8,-8.72,-83.37,0.98,-0.74,6.0,70.0,2015-11-02,2026-08-24,10.8,
AARTECH,SmallCap,UNKNOWN,False,0.0,37.5,-0.496,5.54,19.0,31.6,6.0,31.6,0.0,0.0,12.0,63.2,1.0,5.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.1,7.61,-9.5,0.8,8.3,-77.88,-33.92,-56.03,0.37,-1.07,5.0,16.0,2023-07-10,2026-08-24,3.1,limited history: 3.1y (<10y) - lower confidence
AARTIDRUGS,SmallCap,UNKNOWN,False,0.0,62.5,0.158,4.59,97.0,49.5,40.0,41.2,0.0,0.0,44.0,45.4,13.0,13.4,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.91,11.63,-7.62,1.53,12.0,184.89,-4.87,-67.44,1.5,-0.6,5.0,67.0,2015-11-02,2026-08-24,10.8,
AARTIPHARM,SmallCap,UNKNOWN,False,0.0,75.0,0.048,24.3,38.0,42.1,13.0,34.2,2.0,5.3,14.0,36.8,9.0,23.7,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.76,9.72,-5.76,1.69,15.9,28.79,-6.44,-42.83,1.23,-0.44,7.0,24.0,2023-01-30,2026-08-25,3.6,limited history: 3.6y (<10y) - lower confidence
