# --------------------------------------------------------------------------------------,,,,,,,,,,,,,,,
# wishlist.csv  —  STOCKS YOU'RE WATCHING (not yet bought),,,,,,,,,,,,,,,
# --------------------------------------------------------------------------------------,,,,,,,,,,,,,,,
# See wishlist_app.py header for full schema documentation.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# REQUIRED : ticker, signal_date, signal_price,, target_price,,,,,,,,,,,
# OPTIONAL : expected_days, expected_confidence, stop_price,,,,,,,,,,,,,
#            category, strategy, regime_at_signal,, trade_type, priority,,,,,,,,,,
#            sector, notes,,,,,,,,,,,,,,
# All optional fields auto-derived at load time if left blank.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# CATEGORY (auto-derived from NSE universe buckets when blank):,,,,,,,,,,,,,,,
#   LargeCap / MidCap / SmallCap / Nifty500 / AllNSE,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# STRATEGY (which scanner rule fired — enables per-strategy analytics later):,,,,,,,,,,,,,,,
#   PASS_combined / PASS_recommended / PASS_tight / PASS_balanced / PASS_reversal,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# REGIME_AT_SIGNAL (market regime when signal fired — auto-derived from,,,,,,,,,,,,,,,
#   Nifty 500 bench data at signal_date if blank):  RISK-ON / NEUTRAL / RISK-OFF,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# TRADE_TYPE:  UPTREND / DOWNTREND  (default UPTREND),,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# PRIORITY (your own watch level):  high / medium / low  (default medium),,,,,,,,,,,,,,,
# --------------------------------------------------------------------------------------,,,,,,,,,,,,,,,
ticker,signal_date,Last close,BUY limit ?,target_price,expected_days,stop_price,expected_confidence,News Score,category,strategy,regime_at_signal,trade_type,priority,sector,notes
HEROMOTOCO,09-08-2026,5725,5696.38,6550.84,14d,5432.32,2.57,0.555,,PASS_combined,,UPTREND,,Automobile and Auto Components,Signaled fro today after scanning the market
LICI,09-08-2026,394,392.03,450.83,14d,372.1,0.56,0.358,,PASS_combined,,DOWNTREND,,Financial Services,Signaled fro today after scanning the market
MOTHERSON,09-08-2026,168.5,167.66,192.81,16d,157.18,5.95,0.311,,PASS_combined,,UPTREND,,Automobile and Auto Components,Signaled fro today after scanning the market
TRAVELFOOD,09-08-2026,1428.6,1421.46,1634.68,2d ? thin,1322.83,28.41,0,,PASS_combined,,UPTREND,,Consumer Services,Signaled fro today after scanning the market
NEULANDLAB,09-08-2026,22855,22740.72,26151.83,13d,21034,12.2,0,,PASS_combined,,UPTREND,,Healthcare,Signaled fro today after scanning the market
LLOYDSME,09-08-2026,2101.2,2090.69,2404.29,12d,1970.81,6.48,0,,PASS_combined,,UPTREND,,Metals & Mining,Signaled fro today after scanning the market
MEDANTA,09-08-2026,1455.6,1448.32,1665.57,7d,1365.29,5.46,0,,PASS_combined,,UPTREND,,Healthcare,Signaled fro today after scanning the market
CARBORUNIV,09-08-2026,1097,1091.52,1255.25,14d,1017.1,5.87,0,,PASS_combined,,UPTREND,,Capital Goods,Signaled fro today after scanning the market
APARINDS,09-08-2026,16631,16547.85,19030.03,18d,15223.77,6.97,0,,PASS_combined,,UPTREND,,Capital Goods,Signaled fro today after scanning the market
NETWEB,09-08-2026,4939.2,4914.5,5651.67,9d,4523.19,5.13,0,,PASS_combined,,UPTREND,,Information Technology,Signaled fro today after scanning the market
ASTERDM,09-08-2026,869.7,865.35,995.15,13d,811.37,3.59,0,,PASS_combined,,UPTREND,,Healthcare,Signaled fro today after scanning the market
